DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,minute,day_of_week,day_of_year,month,hour_sin,hour_cos,day_sin,day_cos
2020-05-15 00:00:00,0.0,0.0,48899.938095238096,14189595055.0,27.004763700000005,25.0607889,0.0,0,0,4,136,5,0.0,1.0,0.717676913675962,-0.6963762255968722
2020-05-15 00:15:00,0.0,0.0,28401.0,14189595055.0,26.880811433333328,24.421868833333328,0.0,0,15,4,136,5,0.0,1.0,0.717676913675962,-0.6963762255968722
2020-05-15 00:30:00,0.0,0.0,28401.0,14189595055.0,26.682055344827592,24.427290310344823,0.0,0,30,4,136,5,0.0,1.0,0.717676913675962,-0.6963762255968722
2020-05-15 00:45:00,0.0,0.0,28401.0,14189595055.0,26.500588900000004,24.4206776,0.0,0,45,4,136,5,0.0,1.0,0.717676913675962,-0.6963762255968722
2020-05-15 01:00:00,0.0,0.0,26516.0,14189595055.0,26.596148,25.088210413793107,0.0,1,0,4,136,5,0.25881904510252074,0.9659258262890683,0.717676913675962,-0.6963762255968722
2020-05-15 01:15:00,0.0,0.0,18976.0,14189595055.0,26.512740033333333,25.31796966666667,0.0,1,15,4,136,5,0.25881904510252074,0.9659258262890683,0.717676913675962,-0.6963762255968722
2020-05-15 01:30:00,0.0,0.0,18976.0,14189595055.0,26.494338966666664,25.217192533333336,0.0,1,30,4,136,5,0.25881904510252074,0.9659258262890683,0.717676913675962,-0.6963762255968722
2020-05-15 01:45:00,0.0,0.0,18976.0,14189595055.0,26.420410206896552,25.065062310344832,0.0,1,45,4,136,5,0.25881904510252074,0.9659258262890683,0.717676913675962,-0.6963762255968722
2020-05-15 02:00:00,0.0,0.0,18976.0,14189595055.0,26.401946133333333,24.691469366666656,0.0,2,0,4,136,5,0.49999999999999994,0.8660254037844387,0.717676913675962,-0.6963762255968722
2020-05-15 02:15:00,0.0,0.0,18976.0,14189595055.0,26.226078206896556,24.55948079310345,0.0,2,15,4,136,5,0.49999999999999994,0.8660254037844387,0.717676913675962,-0.6963762255968722
