DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,minute,day_of_week,day_of_year,month,hour_sin,hour_cos,day_sin,day_cos
2020-01-06 00:00:00,-0.7797465365117797,0.0,5407.25,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,0,0,0,6,1,0.01604558288151234,1.437227842039285,-2.7634515471191246,2.905764843364815
2020-01-06 00:15:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,0,15,0,6,1,0.01604558288151234,1.437227842039285,-2.7634515471191246,2.905764843364815
2020-01-06 00:30:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,0,30,0,6,1,0.01604558288151234,1.437227842039285,-2.7634515471191246,2.905764843364815
2020-01-06 00:45:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,0,45,0,6,1,0.01604558288151234,1.437227842039285,-2.7634515471191246,2.905764843364815
2020-01-06 01:00:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,1,0,0,6,1,0.38159495304803503,1.3889602024023857,-2.7634515471191246,2.905764843364815
2020-01-06 01:15:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,1,15,0,6,1,0.38159495304803503,1.3889602024023857,-2.7634515471191246,2.905764843364815
2020-01-06 01:30:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,1,30,0,6,1,0.38159495304803503,1.3889602024023857,-2.7634515471191246,2.905764843364815
2020-01-06 01:45:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,1,45,0,6,1,0.38159495304803503,1.3889602024023857,-2.7634515471191246,2.905764843364815
2020-01-06 02:00:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,2,0,0,6,1,0.7222327377366062,1.2474466433668963,-2.7634515471191246,2.905764843364815
2020-01-06 02:15:00,-0.7797465365117797,0.0,0.0,153519480.0,-0.23676412929534255,-0.602753509471607,-0.6394641633915948,2,15,0,6,1,0.7222327377366062,1.2474466433668963,-2.7634515471191246,2.905764843364815
